Kind,Language,Component,File,Line,Status,Reason,Quick Fix,Found Version,Required Version
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,155,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,270,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,746,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,762,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,1542,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,4361,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,4460,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,4576,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,4850,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\d69060a6-b644-426e-a107-797c86b8e7a8-package-lock.json,6429,affected,Line is too long (>120 characters),Break long lines for better readability,,
