Kind,Language,Component,File,Line,Status,Reason,Quick Fix,Found Version,Required Version
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,2,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,3,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,114,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,148,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,228,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,263,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,264,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,329,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,475,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,492,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,702,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,1330,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,1334,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,1418,affected,Line is too long (>120 characters),Break long lines for better readability,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0327ea80-1a3f-4228-af9c-fb8225e9fcbe-layout.css,2999,affected,Line is too long (>120 characters),Break long lines for better readability,,
