Kind,Language,Component,File,Line,Status,Reason,Quick Fix,Found Version,Required Version
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,5,affected,Dynamic import() can be dangerous,Use static imports or proper module loading,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,5,affected,Dynamic import() can be dangerous,Use static imports or proper module loading,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,33,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,35,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,52,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,58,affected,Direct this assignment is discouraged,Use class properties or bind methods properly,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,60,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,60,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,60,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,70,affected,Post-increment can be confusing,Use pre-increment or explicit addition,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,72,affected,Direct this assignment is discouraged,Use class properties or bind methods properly,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,87,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,90,affected,Post-increment can be confusing,Use pre-increment or explicit addition,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,93,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,93,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,93,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,93,affected,setTimeout with string is dangerous,Use function references instead of strings,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,93,affected,setTimeout with string is dangerous,Use function references instead of strings,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,95,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,95,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,95,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,95,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,95,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,95,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,101,affected,setTimeout with string is dangerous,Use function references instead of strings,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,101,affected,setTimeout with string is dangerous,Use function references instead of strings,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,107,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,108,affected,setTimeout with string is dangerous,Use function references instead of strings,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,108,affected,setTimeout with string is dangerous,Use function references instead of strings,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\baf4eaff-0ed2-4057-b86e-c2823ed9253f-analyzer-fixture.js,110,affected,setTimeout with string is dangerous,Use function references instead of strings,,
