Kind,Language,Component,Found Version,Status,Reason,File,Line,Quick Fix,Required Version
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,23,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,23,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,24,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,24,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,25,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,25,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,26,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,26,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,27,Use static imports or proper module loading,
Pattern,node,,,affected,Dynamic import() can be dangerous,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\0c22afe0-d90d-4515-8530-faa35e8e63e3-analyzer-fixture-3.js,27,Use static imports or proper module loading,
