Kind,Language,Component,File,Line,Status,Reason,Quick Fix,Found Version,Required Version
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,44,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,62,affected,Nullish coalescing can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,62,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,62,affected,Nullish coalescing can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,62,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,62,affected,Nullish coalescing can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,62,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,76,affected,Check for potential logical operator misuse,Use explicit boolean checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,79,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,79,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,79,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,80,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\c7a6acd2-6bf1-43df-9b58-e4d57b13a3e7-baseline.ts,80,affected,Optional chaining can be confusing,Use explicit null/undefined checks,,
