Kind,Language,Component,File,Line,Status,Reason,Quick Fix,Found Version,Required Version
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,15,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,21,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,22,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,23,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,24,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,36,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,37,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,38,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,39,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,40,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,48,affected,Check for potential logical operator misuse,Use explicit boolean checks,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,60,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,61,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,63,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,66,affected,console.log() should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,15,affected,Function declarations are less preferred than arrow functions,Use arrow functions for better scope handling,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,21,affected,console methods should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,22,affected,console methods should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,23,affected,console methods should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,24,affected,console methods should be removed in production,Use proper logging library or remove debug statements,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,31,affected,== can cause type coercion issues,Use === for strict equality,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,32,affected,== can cause type coercion issues,Use === for strict equality,,
Pattern,node,,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\810162f8-6b91-4c6d-8744-2a11b5a401c9-fetch-baseline.ts,33,affected,== can cause type coercion issues,Use === for strict equality,,
