Kind,Language,Component,File,Line,Status,Reason,Quick Fix,Found Version,Required Version
Dependency,node,autoprefixer,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^10.4.17,
Dependency,node,busboy,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^1.6.0,
Dependency,node,class-variance-authority,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^0.7.0,
Dependency,node,clsx,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^2.1.0,
Dependency,node,cors,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^2.8.5,
Dependency,node,d3,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^7.9.0,
Dependency,node,express,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,ok,meets-baseline,npm install express@>=4.18.0,^4.19.2,>=4.18.0
Dependency,node,formidable,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^3.5.1,
Dependency,node,groq-sdk,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^0.33.0,
Dependency,node,lucide-react,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^0.400.0,
Dependency,node,multer,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^1.4.5-lts.1,
Dependency,node,next,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,ok,meets-baseline,npm install next@>=13.0.0,^15.0.0,>=13.0.0
Dependency,node,papaparse,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^5.4.1,
Dependency,node,postcss,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^8.4.35,
Dependency,node,react,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,ok,meets-baseline,npm install react@>=18.0.0,^19.1.1,>=18.0.0
Dependency,node,react-dom,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^19.1.1,
Dependency,node,react-dropzone,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^14.2.3,
Dependency,node,semver,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^7.6.3,
Dependency,node,tailwind-merge,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^2.2.1,
Dependency,node,tailwindcss,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^3.4.0,
Dependency,node,unzipper,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^0.10.14,
Dependency,node,web-features,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^3.1.0,
Dependency,node,yaml,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^2.6.0,
Dependency,node,zod,C:\Users\Ckhadar\Downloads\AI_Baseline_Map\tmp\analyzer\94212982-e504-47c2-a7e3-979fed28582f-package.json,,unknown,no-baseline-rule,,^3.23.8,
